,func_oldfunccode,func_newfunccode,func_newdoc,func_newJdoc,func_olddoc,func_oldJdoc,func_addlines,func_addcode,func_dellines,func_delcode,func_path,func_pathinproj,func_methodsig,doc_oldfunccode,doc_newfunccode,doc_newdoc,doc_newJdoc,doc_olddoc,doc_oldJdoc,doc_addlines,doc_addcode,doc_dellines,doc_delcode,doc_path,doc_pathinproj,doc_methodsig,id,flag,commit
1,a70f009926809b9a37ebbc16ebbc9cf71030be11/Codes/Match_oldfunccode_a70f009926809b9a37ebbc16ebbc9cf71030be11_1.txt,a70f009926809b9a37ebbc16ebbc9cf71030be11/Codes/Match_newfunccode_a70f009926809b9a37ebbc16ebbc9cf71030be11_1.txt,,,,,"[160, 545, 547, 132, 549, 134, 550, 106, 650, 396, 398, 558, 400, 560, 94, 158]","['    setBackingMap(new LinkedHashMap<E, Count>());\n', '    expectedValuesPerKey = DEFAULT_VALUES_PER_KEY;\n', '    Map<K, Collection<V>> map = Maps.newHashMap();\n', '    setBackingMap(Maps.<E, Count>newHashMap());\n', '      ImmutableList.Builder<Object> valuesBuilder = ImmutableList.builder();\n', '        valuesBuilder.add(stream.readObject());\n', '      builder.put(key, valuesBuilder.build());\n', '    init(16);\n', '    valueSetCapacity = DEFAULT_VALUE_SET_CAPACITY;\n', '    Map<K, Collection<V>> map = new LinkedHashMap<K, Collection<V>>();\n', '      ImmutableSet.Builder<Object> valuesBuilder = valuesBuilder(valueComparator);\n', '        valuesBuilder.add(stream.readObject());\n', '      ImmutableSet<Object> valueSet = valuesBuilder.build();\n', '      if (valueSet.size() != valueCount) {\n', '    expectedValuesPerKey = DEFAULT_VALUES_PER_KEY;\n', '    Map<K, Collection<V>> map = Maps.newHashMap();\n']","[544, 161, 133, 135, 106, 107, 651, 396, 398, 559, 400, 561, 562, 539, 541, 94, 95, 543, 159]","['    setBackingMap(new LinkedHashMap<E, Count>(\n', '        Maps.capacity(distinctElements)));\n', '    expectedValuesPerKey = stream.readInt();\n', '    Map<K, Collection<V>> map = Maps.newHashMapWithExpectedSize(distinctKeys);\n', '    setBackingMap(\n', '        Maps.<E, Count>newHashMapWithExpectedSize(distinctElements));\n', '      Object[] array = new Object[valueCount];\n', '        array[j] = stream.readObject();\n', '      builder.put(key, ImmutableList.copyOf(array));\n', '    init(size);\n', '    valueSetCapacity = stream.readInt();\n', '    Map<K, Collection<V>> map =\n', '        new LinkedHashMap<K, Collection<V>>(Maps.capacity(distinctKeys));\n', '      Object[] array = new Object[valueCount];\n', '        array[j] = stream.readObject();\n', '      ImmutableSet<Object> valueSet = valueSet(valueComparator, asList(array));\n', '      if (valueSet.size() != array.length) {\n', '    expectedValuesPerKey = stream.readInt();\n', '    Map<K, Collection<V>> map = Maps.newHashMapWithExpectedSize(distinctKeys);\n']",/home/pritish/Documents/IP work/guv_ver/v19.0/a70f009926809b9a37ebbc16ebbc9cf71030be11/LinkedHashMultiset,guava/src/com/google/common/collect/LinkedHashMultiset.java,"private void readObject(ObjectInputStream stream) throws IOException, ClassNotFoundException",a70f009926809b9a37ebbc16ebbc9cf71030be11/Codes/Match_olddocfunccode_a70f009926809b9a37ebbc16ebbc9cf71030be11_1.txt,a70f009926809b9a37ebbc16ebbc9cf71030be11/Codes/Match_newdocfunccode_a70f009926809b9a37ebbc16ebbc9cf71030be11_1.txt,,a70f009926809b9a37ebbc16ebbc9cf71030be11/Codes/Match_newdocnewJdoc_a70f009926809b9a37ebbc16ebbc9cf71030be11_1.txt,,a70f009926809b9a37ebbc16ebbc9cf71030be11/Codes/Match_olddocJdoc_a70f009926809b9a37ebbc16ebbc9cf71030be11_1.txt,[],[],"[45, 46, 47]","['    setBackingMap(new LinkedHashMap<E, Count>(\n', '        Maps.capacity(distinctElements)));\n', '    expectedValuesPerKey = stream.readInt();\n', '    Map<K, Collection<V>> map = Maps.newHashMapWithExpectedSize(distinctKeys);\n', '    setBackingMap(\n', '        Maps.<E, Count>newHashMapWithExpectedSize(distinctElements));\n', '      Object[] array = new Object[valueCount];\n', '        array[j] = stream.readObject();\n', '      builder.put(key, ImmutableList.copyOf(array));\n', '    init(size);\n', '    valueSetCapacity = stream.readInt();\n', '    Map<K, Collection<V>> map =\n', '        new LinkedHashMap<K, Collection<V>>(Maps.capacity(distinctKeys));\n', '      Object[] array = new Object[valueCount];\n', '        array[j] = stream.readObject();\n', '      ImmutableSet<Object> valueSet = valueSet(valueComparator, asList(array));\n', '      if (valueSet.size() != array.length) {\n', '    expectedValuesPerKey = stream.readInt();\n', '    Map<K, Collection<V>> map = Maps.newHashMapWithExpectedSize(distinctKeys);\n']",/home/pritish/Documents/IP work/guv_ver/v19.0/a70f009926809b9a37ebbc16ebbc9cf71030be11/Serialization,guava/src/com/google/common/collect/Serialization.java, static int readCount(ObjectInputStream stream) throws IOException,3,1,a70f009926809b9a37ebbc16ebbc9cf71030be11
2,,76b76a8491d7e1cfe1f69ee00c796d907be3e8ef/Codes/Match_newfunccode_76b76a8491d7e1cfe1f69ee00c796d907be3e8ef_1.txt,,76b76a8491d7e1cfe1f69ee00c796d907be3e8ef/Codes/Match_newfuncnewJdoc_76b76a8491d7e1cfe1f69ee00c796d907be3e8ef_1.txt,,,"[298, 299, 300, 301]","['  public static <T> BloomFilter<T> create(\n', '      Funnel<? super T> funnel, int expectedInsertions, double fpp) {\n', '    return create(funnel, (long) expectedInsertions, fpp);\n', '  }\n']",[],[],/home/pritish/Documents/IP work/guv_ver/v19.0/76b76a8491d7e1cfe1f69ee00c796d907be3e8ef/BloomFilter,guava/src/com/google/common/hash/BloomFilter.java,"public static BloomFilter<T> create(Funnel<? super T> funnel, int expectedInsertions, double fpp)",76b76a8491d7e1cfe1f69ee00c796d907be3e8ef/Codes/Match_olddocfunccode_76b76a8491d7e1cfe1f69ee00c796d907be3e8ef_1.txt,76b76a8491d7e1cfe1f69ee00c796d907be3e8ef/Codes/Match_newdocfunccode_76b76a8491d7e1cfe1f69ee00c796d907be3e8ef_1.txt," FYI, for 3%, we always get 5 hash functions
",76b76a8491d7e1cfe1f69ee00c796d907be3e8ef/Codes/Match_newdocnewJdoc_76b76a8491d7e1cfe1f69ee00c796d907be3e8ef_1.txt," FYI, for 3%, we always get 5 hash functions
",76b76a8491d7e1cfe1f69ee00c796d907be3e8ef/Codes/Match_olddocJdoc_76b76a8491d7e1cfe1f69ee00c796d907be3e8ef_1.txt,"[384, 385, 386, 387, 388, 389, 390, 391, 392, 393, 394, 395, 396, 397, 398, 403]","['  /**\n', '   * Creates a {@link BloomFilter BloomFilter<T>} with the expected number of\n', '   * insertions and a default expected false positive probability of 3%.\n', '   *\n', '   * <p>Note that overflowing a {@code BloomFilter} with significantly more elements\n', '   * than specified, will result in its saturation, and a sharp deterioration of its\n', '   * false positive probability.\n', '   *\n', '   * <p>The constructed {@code BloomFilter<T>} will be serializable if the provided\n', '   * {@code Funnel<T>} is.\n', '   *\n', '   * <p>It is recommended that the funnel be implemented as a Java enum. This has the\n', '   * benefit of ensuring proper serialization and deserialization, which is important\n', '   * since {@link #equals} also relies on object identity of funnels.\n', '   *\n', '   * @since 19.0\n']",[],[],/home/pritish/Documents/IP work/guv_ver/v19.0/76b76a8491d7e1cfe1f69ee00c796d907be3e8ef/BloomFilter,guava/src/com/google/common/hash/BloomFilter.java,"public static BloomFilter<T> create(Funnel<? super T> funnel, long expectedInsertions)",5,1,76b76a8491d7e1cfe1f69ee00c796d907be3e8ef
3,76b76a8491d7e1cfe1f69ee00c796d907be3e8ef/Codes/Match_oldfunccode_76b76a8491d7e1cfe1f69ee00c796d907be3e8ef_2.txt,76b76a8491d7e1cfe1f69ee00c796d907be3e8ef/Codes/Match_newfunccode_76b76a8491d7e1cfe1f69ee00c796d907be3e8ef_2.txt,,76b76a8491d7e1cfe1f69ee00c796d907be3e8ef/Codes/Match_newfuncnewJdoc_76b76a8491d7e1cfe1f69ee00c796d907be3e8ef_2.txt,,76b76a8491d7e1cfe1f69ee00c796d907be3e8ef/Codes/Match_oldfuncoldJdoc_76b76a8491d7e1cfe1f69ee00c796d907be3e8ef_2.txt,[325],['  @CheckReturnValue\n'],[],[],/home/pritish/Documents/IP work/guv_ver/v19.0/76b76a8491d7e1cfe1f69ee00c796d907be3e8ef/BloomFilter,guava/src/com/google/common/hash/BloomFilter.java,"public static BloomFilter<T> create(Funnel<? super T> funnel, long expectedInsertions, double fpp)",76b76a8491d7e1cfe1f69ee00c796d907be3e8ef/Codes/Match_olddocfunccode_76b76a8491d7e1cfe1f69ee00c796d907be3e8ef_2.txt,76b76a8491d7e1cfe1f69ee00c796d907be3e8ef/Codes/Match_newdocfunccode_76b76a8491d7e1cfe1f69ee00c796d907be3e8ef_2.txt," FYI, for 3%, we always get 5 hash functions
 FYI, for 3%, we always get 5 hash functions
",76b76a8491d7e1cfe1f69ee00c796d907be3e8ef/Codes/Match_newdocnewJdoc_76b76a8491d7e1cfe1f69ee00c796d907be3e8ef_2.txt," FYI, for 3%, we always get 5 hash functions
 FYI, for 3%, we always get 5 hash functions
",76b76a8491d7e1cfe1f69ee00c796d907be3e8ef/Codes/Match_olddocJdoc_76b76a8491d7e1cfe1f69ee00c796d907be3e8ef_2.txt,"[384, 385, 386, 387, 388, 389, 390, 391, 392, 393, 394, 395, 396, 397, 398, 403]","['  /**\n', '   * Creates a {@link BloomFilter BloomFilter<T>} with the expected number of\n', '   * insertions and a default expected false positive probability of 3%.\n', '   *\n', '   * <p>Note that overflowing a {@code BloomFilter} with significantly more elements\n', '   * than specified, will result in its saturation, and a sharp deterioration of its\n', '   * false positive probability.\n', '   *\n', '   * <p>The constructed {@code BloomFilter<T>} will be serializable if the provided\n', '   * {@code Funnel<T>} is.\n', '   *\n', '   * <p>It is recommended that the funnel be implemented as a Java enum. This has the\n', '   * benefit of ensuring proper serialization and deserialization, which is important\n', '   * since {@link #equals} also relies on object identity of funnels.\n', '   *\n', '   * @since 19.0\n']",[],[],/home/pritish/Documents/IP work/guv_ver/v19.0/76b76a8491d7e1cfe1f69ee00c796d907be3e8ef/BloomFilter,guava/src/com/google/common/hash/BloomFilter.java,"public static BloomFilter<T> create(Funnel<? super T> funnel, long expectedInsertions)",5,1,76b76a8491d7e1cfe1f69ee00c796d907be3e8ef
4,,76b76a8491d7e1cfe1f69ee00c796d907be3e8ef/Codes/Match_newfunccode_76b76a8491d7e1cfe1f69ee00c796d907be3e8ef_3.txt,,76b76a8491d7e1cfe1f69ee00c796d907be3e8ef/Codes/Match_newfuncnewJdoc_76b76a8491d7e1cfe1f69ee00c796d907be3e8ef_3.txt,,,"[379, 380, 381, 382]","['  @CheckReturnValue\n', '  public static <T> BloomFilter<T> create(Funnel<? super T> funnel, int expectedInsertions) {\n', '    return create(funnel, (long) expectedInsertions);\n', '  }\n']",[],[],/home/pritish/Documents/IP work/guv_ver/v19.0/76b76a8491d7e1cfe1f69ee00c796d907be3e8ef/BloomFilter,guava/src/com/google/common/hash/BloomFilter.java,"public static BloomFilter<T> create(Funnel<? super T> funnel, int expectedInsertions)",76b76a8491d7e1cfe1f69ee00c796d907be3e8ef/Codes/Match_olddocfunccode_76b76a8491d7e1cfe1f69ee00c796d907be3e8ef_3.txt,76b76a8491d7e1cfe1f69ee00c796d907be3e8ef/Codes/Match_newdocfunccode_76b76a8491d7e1cfe1f69ee00c796d907be3e8ef_3.txt," FYI, for 3%, we always get 5 hash functions
 FYI, for 3%, we always get 5 hash functions
 FYI, for 3%, we always get 5 hash functions
",76b76a8491d7e1cfe1f69ee00c796d907be3e8ef/Codes/Match_newdocnewJdoc_76b76a8491d7e1cfe1f69ee00c796d907be3e8ef_3.txt," FYI, for 3%, we always get 5 hash functions
 FYI, for 3%, we always get 5 hash functions
 FYI, for 3%, we always get 5 hash functions
",76b76a8491d7e1cfe1f69ee00c796d907be3e8ef/Codes/Match_olddocJdoc_76b76a8491d7e1cfe1f69ee00c796d907be3e8ef_3.txt,"[384, 385, 386, 387, 388, 389, 390, 391, 392, 393, 394, 395, 396, 397, 398, 403]","['  /**\n', '   * Creates a {@link BloomFilter BloomFilter<T>} with the expected number of\n', '   * insertions and a default expected false positive probability of 3%.\n', '   *\n', '   * <p>Note that overflowing a {@code BloomFilter} with significantly more elements\n', '   * than specified, will result in its saturation, and a sharp deterioration of its\n', '   * false positive probability.\n', '   *\n', '   * <p>The constructed {@code BloomFilter<T>} will be serializable if the provided\n', '   * {@code Funnel<T>} is.\n', '   *\n', '   * <p>It is recommended that the funnel be implemented as a Java enum. This has the\n', '   * benefit of ensuring proper serialization and deserialization, which is important\n', '   * since {@link #equals} also relies on object identity of funnels.\n', '   *\n', '   * @since 19.0\n']",[],[],/home/pritish/Documents/IP work/guv_ver/v19.0/76b76a8491d7e1cfe1f69ee00c796d907be3e8ef/BloomFilter,guava/src/com/google/common/hash/BloomFilter.java,"public static BloomFilter<T> create(Funnel<? super T> funnel, long expectedInsertions)",5,1,76b76a8491d7e1cfe1f69ee00c796d907be3e8ef
5,,76b76a8491d7e1cfe1f69ee00c796d907be3e8ef/Codes/Match_newfunccode_76b76a8491d7e1cfe1f69ee00c796d907be3e8ef_4.txt,,76b76a8491d7e1cfe1f69ee00c796d907be3e8ef/Codes/Match_newfuncnewJdoc_76b76a8491d7e1cfe1f69ee00c796d907be3e8ef_4.txt,,,"[298, 299, 300, 301]","['  public static <T> BloomFilter<T> create(\n', '      Funnel<? super T> funnel, int expectedInsertions, double fpp) {\n', '    return create(funnel, (long) expectedInsertions, fpp);\n', '  }\n']",[],[],/home/pritish/Documents/IP work/guv_ver/v19.0/76b76a8491d7e1cfe1f69ee00c796d907be3e8ef/BloomFilter,guava/src/com/google/common/hash/BloomFilter.java,"public static BloomFilter<T> create(Funnel<? super T> funnel, int expectedInsertions, double fpp)",76b76a8491d7e1cfe1f69ee00c796d907be3e8ef/Codes/Match_olddocfunccode_76b76a8491d7e1cfe1f69ee00c796d907be3e8ef_4.txt,76b76a8491d7e1cfe1f69ee00c796d907be3e8ef/Codes/Match_newdocfunccode_76b76a8491d7e1cfe1f69ee00c796d907be3e8ef_4.txt," FYI, for 3%, we always get 5 hash functions
 FYI, for 3%, we always get 5 hash functions
 FYI, for 3%, we always get 5 hash functions
 FYI, for 3%, we always get 5 hash functions
",76b76a8491d7e1cfe1f69ee00c796d907be3e8ef/Codes/Match_newdocnewJdoc_76b76a8491d7e1cfe1f69ee00c796d907be3e8ef_4.txt," FYI, for 3%, we always get 5 hash functions
 FYI, for 3%, we always get 5 hash functions
 FYI, for 3%, we always get 5 hash functions
 FYI, for 3%, we always get 5 hash functions
",76b76a8491d7e1cfe1f69ee00c796d907be3e8ef/Codes/Match_olddocJdoc_76b76a8491d7e1cfe1f69ee00c796d907be3e8ef_4.txt,"[384, 385, 386, 387, 388, 389, 390, 391, 392, 393, 394, 395, 396, 397, 398, 403]","['  /**\n', '   * Creates a {@link BloomFilter BloomFilter<T>} with the expected number of\n', '   * insertions and a default expected false positive probability of 3%.\n', '   *\n', '   * <p>Note that overflowing a {@code BloomFilter} with significantly more elements\n', '   * than specified, will result in its saturation, and a sharp deterioration of its\n', '   * false positive probability.\n', '   *\n', '   * <p>The constructed {@code BloomFilter<T>} will be serializable if the provided\n', '   * {@code Funnel<T>} is.\n', '   *\n', '   * <p>It is recommended that the funnel be implemented as a Java enum. This has the\n', '   * benefit of ensuring proper serialization and deserialization, which is important\n', '   * since {@link #equals} also relies on object identity of funnels.\n', '   *\n', '   * @since 19.0\n']",[],[],/home/pritish/Documents/IP work/guv_ver/v19.0/76b76a8491d7e1cfe1f69ee00c796d907be3e8ef/BloomFilter,guava/src/com/google/common/hash/BloomFilter.java,"public static BloomFilter<T> create(Funnel<? super T> funnel, long expectedInsertions)",3,1,76b76a8491d7e1cfe1f69ee00c796d907be3e8ef
6,76b76a8491d7e1cfe1f69ee00c796d907be3e8ef/Codes/Match_oldfunccode_76b76a8491d7e1cfe1f69ee00c796d907be3e8ef_5.txt,76b76a8491d7e1cfe1f69ee00c796d907be3e8ef/Codes/Match_newfunccode_76b76a8491d7e1cfe1f69ee00c796d907be3e8ef_5.txt,,76b76a8491d7e1cfe1f69ee00c796d907be3e8ef/Codes/Match_newfuncnewJdoc_76b76a8491d7e1cfe1f69ee00c796d907be3e8ef_5.txt,,76b76a8491d7e1cfe1f69ee00c796d907be3e8ef/Codes/Match_oldfuncoldJdoc_76b76a8491d7e1cfe1f69ee00c796d907be3e8ef_5.txt,[325],['  @CheckReturnValue\n'],[],[],/home/pritish/Documents/IP work/guv_ver/v19.0/76b76a8491d7e1cfe1f69ee00c796d907be3e8ef/BloomFilter,guava/src/com/google/common/hash/BloomFilter.java,"public static BloomFilter<T> create(Funnel<? super T> funnel, long expectedInsertions, double fpp)",76b76a8491d7e1cfe1f69ee00c796d907be3e8ef/Codes/Match_olddocfunccode_76b76a8491d7e1cfe1f69ee00c796d907be3e8ef_5.txt,76b76a8491d7e1cfe1f69ee00c796d907be3e8ef/Codes/Match_newdocfunccode_76b76a8491d7e1cfe1f69ee00c796d907be3e8ef_5.txt," FYI, for 3%, we always get 5 hash functions
 FYI, for 3%, we always get 5 hash functions
 FYI, for 3%, we always get 5 hash functions
 FYI, for 3%, we always get 5 hash functions
 FYI, for 3%, we always get 5 hash functions
",76b76a8491d7e1cfe1f69ee00c796d907be3e8ef/Codes/Match_newdocnewJdoc_76b76a8491d7e1cfe1f69ee00c796d907be3e8ef_5.txt," FYI, for 3%, we always get 5 hash functions
 FYI, for 3%, we always get 5 hash functions
 FYI, for 3%, we always get 5 hash functions
 FYI, for 3%, we always get 5 hash functions
 FYI, for 3%, we always get 5 hash functions
",76b76a8491d7e1cfe1f69ee00c796d907be3e8ef/Codes/Match_olddocJdoc_76b76a8491d7e1cfe1f69ee00c796d907be3e8ef_5.txt,"[384, 385, 386, 387, 388, 389, 390, 391, 392, 393, 394, 395, 396, 397, 398, 403]","['  /**\n', '   * Creates a {@link BloomFilter BloomFilter<T>} with the expected number of\n', '   * insertions and a default expected false positive probability of 3%.\n', '   *\n', '   * <p>Note that overflowing a {@code BloomFilter} with significantly more elements\n', '   * than specified, will result in its saturation, and a sharp deterioration of its\n', '   * false positive probability.\n', '   *\n', '   * <p>The constructed {@code BloomFilter<T>} will be serializable if the provided\n', '   * {@code Funnel<T>} is.\n', '   *\n', '   * <p>It is recommended that the funnel be implemented as a Java enum. This has the\n', '   * benefit of ensuring proper serialization and deserialization, which is important\n', '   * since {@link #equals} also relies on object identity of funnels.\n', '   *\n', '   * @since 19.0\n']",[],[],/home/pritish/Documents/IP work/guv_ver/v19.0/76b76a8491d7e1cfe1f69ee00c796d907be3e8ef/BloomFilter,guava/src/com/google/common/hash/BloomFilter.java,"public static BloomFilter<T> create(Funnel<? super T> funnel, long expectedInsertions)",3,1,76b76a8491d7e1cfe1f69ee00c796d907be3e8ef
7,,76b76a8491d7e1cfe1f69ee00c796d907be3e8ef/Codes/Match_newfunccode_76b76a8491d7e1cfe1f69ee00c796d907be3e8ef_6.txt,,76b76a8491d7e1cfe1f69ee00c796d907be3e8ef/Codes/Match_newfuncnewJdoc_76b76a8491d7e1cfe1f69ee00c796d907be3e8ef_6.txt,,,"[379, 380, 381, 382]","['  @CheckReturnValue\n', '  public static <T> BloomFilter<T> create(Funnel<? super T> funnel, int expectedInsertions) {\n', '    return create(funnel, (long) expectedInsertions);\n', '  }\n']",[],[],/home/pritish/Documents/IP work/guv_ver/v19.0/76b76a8491d7e1cfe1f69ee00c796d907be3e8ef/BloomFilter,guava/src/com/google/common/hash/BloomFilter.java,"public static BloomFilter<T> create(Funnel<? super T> funnel, int expectedInsertions)",76b76a8491d7e1cfe1f69ee00c796d907be3e8ef/Codes/Match_olddocfunccode_76b76a8491d7e1cfe1f69ee00c796d907be3e8ef_6.txt,76b76a8491d7e1cfe1f69ee00c796d907be3e8ef/Codes/Match_newdocfunccode_76b76a8491d7e1cfe1f69ee00c796d907be3e8ef_6.txt," FYI, for 3%, we always get 5 hash functions
 FYI, for 3%, we always get 5 hash functions
 FYI, for 3%, we always get 5 hash functions
 FYI, for 3%, we always get 5 hash functions
 FYI, for 3%, we always get 5 hash functions
 FYI, for 3%, we always get 5 hash functions
",76b76a8491d7e1cfe1f69ee00c796d907be3e8ef/Codes/Match_newdocnewJdoc_76b76a8491d7e1cfe1f69ee00c796d907be3e8ef_6.txt," FYI, for 3%, we always get 5 hash functions
 FYI, for 3%, we always get 5 hash functions
 FYI, for 3%, we always get 5 hash functions
 FYI, for 3%, we always get 5 hash functions
 FYI, for 3%, we always get 5 hash functions
 FYI, for 3%, we always get 5 hash functions
",76b76a8491d7e1cfe1f69ee00c796d907be3e8ef/Codes/Match_olddocJdoc_76b76a8491d7e1cfe1f69ee00c796d907be3e8ef_6.txt,"[384, 385, 386, 387, 388, 389, 390, 391, 392, 393, 394, 395, 396, 397, 398, 403]","['  /**\n', '   * Creates a {@link BloomFilter BloomFilter<T>} with the expected number of\n', '   * insertions and a default expected false positive probability of 3%.\n', '   *\n', '   * <p>Note that overflowing a {@code BloomFilter} with significantly more elements\n', '   * than specified, will result in its saturation, and a sharp deterioration of its\n', '   * false positive probability.\n', '   *\n', '   * <p>The constructed {@code BloomFilter<T>} will be serializable if the provided\n', '   * {@code Funnel<T>} is.\n', '   *\n', '   * <p>It is recommended that the funnel be implemented as a Java enum. This has the\n', '   * benefit of ensuring proper serialization and deserialization, which is important\n', '   * since {@link #equals} also relies on object identity of funnels.\n', '   *\n', '   * @since 19.0\n']",[],[],/home/pritish/Documents/IP work/guv_ver/v19.0/76b76a8491d7e1cfe1f69ee00c796d907be3e8ef/BloomFilter,guava/src/com/google/common/hash/BloomFilter.java,"public static BloomFilter<T> create(Funnel<? super T> funnel, long expectedInsertions)",3,1,76b76a8491d7e1cfe1f69ee00c796d907be3e8ef
8,ac25c5019e61dae7a993562235b8de4fdada0394/Codes/Match_oldfunccode_ac25c5019e61dae7a993562235b8de4fdada0394_1.txt,ac25c5019e61dae7a993562235b8de4fdada0394/Codes/Match_newfunccode_ac25c5019e61dae7a993562235b8de4fdada0394_1.txt,,,,,[1078],"['  private void await(Guard guard, boolean signalBeforeWaiting)\n']",[983],"['    private void await(Guard guard, boolean signalBeforeWaiting)\n']",/home/pritish/Documents/IP work/guv_ver/v19.0/ac25c5019e61dae7a993562235b8de4fdada0394/Monitor,guava/src/com/google/common/util/concurrent/Monitor.java,"private void await(Guard guard, boolean signalBeforeWaiting) throws InterruptedException",ac25c5019e61dae7a993562235b8de4fdada0394/Codes/Match_olddocfunccode_ac25c5019e61dae7a993562235b8de4fdada0394_1.txt,ac25c5019e61dae7a993562235b8de4fdada0394/Codes/Match_newdocfunccode_ac25c5019e61dae7a993562235b8de4fdada0394_1.txt,,ac25c5019e61dae7a993562235b8de4fdada0394/Codes/Match_newdocnewJdoc_ac25c5019e61dae7a993562235b8de4fdada0394_1.txt,,ac25c5019e61dae7a993562235b8de4fdada0394/Codes/Match_olddocJdoc_ac25c5019e61dae7a993562235b8de4fdada0394_1.txt,"[434, 435]","['   *\n', '   * @throws InterruptedException if interrupted while waiting\n']",[],"['    private void await(Guard guard, boolean signalBeforeWaiting)\n']",/home/pritish/Documents/IP work/guv_ver/v19.0/ac25c5019e61dae7a993562235b8de4fdada0394/Monitor,guava/src/com/google/common/util/concurrent/Monitor.java,public void enterWhen(Guard guard) throws InterruptedException,5,1,ac25c5019e61dae7a993562235b8de4fdada0394
9,ac25c5019e61dae7a993562235b8de4fdada0394/Codes/Match_oldfunccode_ac25c5019e61dae7a993562235b8de4fdada0394_2.txt,ac25c5019e61dae7a993562235b8de4fdada0394/Codes/Match_newfunccode_ac25c5019e61dae7a993562235b8de4fdada0394_2.txt,,,,,[1078],"['  private void await(Guard guard, boolean signalBeforeWaiting)\n']",[983],"['    private void await(Guard guard, boolean signalBeforeWaiting)\n']",/home/pritish/Documents/IP work/guv_ver/v19.0/ac25c5019e61dae7a993562235b8de4fdada0394/Monitor,guava/src/com/google/common/util/concurrent/Monitor.java,"private void await(Guard guard, boolean signalBeforeWaiting) throws InterruptedException",ac25c5019e61dae7a993562235b8de4fdada0394/Codes/Match_olddocfunccode_ac25c5019e61dae7a993562235b8de4fdada0394_2.txt,ac25c5019e61dae7a993562235b8de4fdada0394/Codes/Match_newdocfunccode_ac25c5019e61dae7a993562235b8de4fdada0394_2.txt,,ac25c5019e61dae7a993562235b8de4fdada0394/Codes/Match_newdocnewJdoc_ac25c5019e61dae7a993562235b8de4fdada0394_2.txt,,ac25c5019e61dae7a993562235b8de4fdada0394/Codes/Match_olddocJdoc_ac25c5019e61dae7a993562235b8de4fdada0394_2.txt,[634],['   * @throws InterruptedException if interrupted while waiting\n'],[],"['    private void await(Guard guard, boolean signalBeforeWaiting)\n']",/home/pritish/Documents/IP work/guv_ver/v19.0/ac25c5019e61dae7a993562235b8de4fdada0394/Monitor,guava/src/com/google/common/util/concurrent/Monitor.java,public boolean enterIfInterruptibly(Guard guard) throws InterruptedException,5,1,ac25c5019e61dae7a993562235b8de4fdada0394
10,ac25c5019e61dae7a993562235b8de4fdada0394/Codes/Match_oldfunccode_ac25c5019e61dae7a993562235b8de4fdada0394_3.txt,ac25c5019e61dae7a993562235b8de4fdada0394/Codes/Match_newfunccode_ac25c5019e61dae7a993562235b8de4fdada0394_3.txt,,,,,[1078],"['  private void await(Guard guard, boolean signalBeforeWaiting)\n']",[983],"['    private void await(Guard guard, boolean signalBeforeWaiting)\n']",/home/pritish/Documents/IP work/guv_ver/v19.0/ac25c5019e61dae7a993562235b8de4fdada0394/Monitor,guava/src/com/google/common/util/concurrent/Monitor.java,"private void await(Guard guard, boolean signalBeforeWaiting) throws InterruptedException",ac25c5019e61dae7a993562235b8de4fdada0394/Codes/Match_olddocfunccode_ac25c5019e61dae7a993562235b8de4fdada0394_3.txt,ac25c5019e61dae7a993562235b8de4fdada0394/Codes/Match_newdocfunccode_ac25c5019e61dae7a993562235b8de4fdada0394_3.txt,,ac25c5019e61dae7a993562235b8de4fdada0394/Codes/Match_newdocnewJdoc_ac25c5019e61dae7a993562235b8de4fdada0394_3.txt,,ac25c5019e61dae7a993562235b8de4fdada0394/Codes/Match_olddocJdoc_ac25c5019e61dae7a993562235b8de4fdada0394_3.txt,"[733, 734]","['   *\n', '   * @throws InterruptedException if interrupted while waiting\n']",[],"['    private void await(Guard guard, boolean signalBeforeWaiting)\n']",/home/pritish/Documents/IP work/guv_ver/v19.0/ac25c5019e61dae7a993562235b8de4fdada0394/Monitor,guava/src/com/google/common/util/concurrent/Monitor.java,public void waitFor(Guard guard) throws InterruptedException,5,1,ac25c5019e61dae7a993562235b8de4fdada0394
