,func_oldfunccode,func_newfunccode,func_newdoc,func_newJdoc,func_olddoc,func_oldJdoc,func_addlines,func_addcode,func_dellines,func_delcode,func_path,func_pathinproj,func_methodsig,doc_oldfunccode,doc_newfunccode,doc_newdoc,doc_newJdoc,doc_olddoc,doc_oldJdoc,doc_addlines,doc_addcode,doc_dellines,doc_delcode,doc_path,doc_pathinproj,doc_methodsig,id,flag,commit
1,d42e32781bc40bcc6df53d5d5d2120b91d8782a2/Codes_neg/Match_oldfunccode_d42e32781bc40bcc6df53d5d5d2120b91d8782a2_1.txt,d42e32781bc40bcc6df53d5d5d2120b91d8782a2/Codes_neg/Match_newfunccode_d42e32781bc40bcc6df53d5d5d2120b91d8782a2_1.txt," fully variant implementation (never actually produces any Es)
",d42e32781bc40bcc6df53d5d5d2120b91d8782a2/Codes_neg/Match_newfuncnewJdoc_d42e32781bc40bcc6df53d5d5d2120b91d8782a2_1.txt,,d42e32781bc40bcc6df53d5d5d2120b91d8782a2/Codes_neg/Match_oldfuncoldJdoc_d42e32781bc40bcc6df53d5d5d2120b91d8782a2_1.txt,[],[],[82],"['  @SuppressWarnings({""unchecked""})\n']",/home/pritish/Documents/IP work/guv_ver/v19.0/d42e32781bc40bcc6df53d5d5d2120b91d8782a2/ImmutableSet,guava/src/com/google/common/collect/ImmutableSet.java,public static ImmutableSet<E> of(),d42e32781bc40bcc6df53d5d5d2120b91d8782a2/Codes_neg/Match_olddocfunccode_d42e32781bc40bcc6df53d5d5d2120b91d8782a2_1.txt,d42e32781bc40bcc6df53d5d5d2120b91d8782a2/Codes_neg/Match_newdocfunccode_d42e32781bc40bcc6df53d5d5d2120b91d8782a2_1.txt,,d42e32781bc40bcc6df53d5d5d2120b91d8782a2/Codes_neg/Match_newdocnewJdoc_d42e32781bc40bcc6df53d5d5d2120b91d8782a2_1.txt,,d42e32781bc40bcc6df53d5d5d2120b91d8782a2/Codes_neg/Match_olddocJdoc_d42e32781bc40bcc6df53d5d5d2120b91d8782a2_1.txt,"[256, 258, 259, 260, 261, 254, 255]","['   * Returns an immutable set containing each of {@code elements}, minus duplicates, in the order\n', '   * each appears first in the source iterable. This method iterates over {@code elements} only\n', '   * once.\n', '   * <p><b>Performance note:</b> In certain cases when {@code elements} is an {@link\n', '   * ImmutableCollection}, its data will be reused directly without copying; the {@code elements}\n', '   * instance itself might even be returned. The specific circumstances in which these optimizations\n', '   * happen are undefined and subject to change.\n']","[288, 289, 290, 291, 293, 294, 295, 283, 284, 285, 286, 287]","['  @SuppressWarnings({""unchecked""})\n']",/home/pritish/Documents/IP work/guv_ver/v19.0/d42e32781bc40bcc6df53d5d5d2120b91d8782a2/ImmutableSet,guava/src/com/google/common/collect/ImmutableSet.java,public static ImmutableSet<E> copyOf(Iterable<? extends E> elements),1,1,d42e32781bc40bcc6df53d5d5d2120b91d8782a2
2,d42e32781bc40bcc6df53d5d5d2120b91d8782a2/Codes_neg/Match_oldfunccode_d42e32781bc40bcc6df53d5d5d2120b91d8782a2_2.txt,d42e32781bc40bcc6df53d5d5d2120b91d8782a2/Codes_neg/Match_newfunccode_d42e32781bc40bcc6df53d5d5d2120b91d8782a2_2.txt,"
     * TODO(user): consider checking for ImmutableAsList here
     * TODO(user): consider checking for Multiset here
     
 all supported methods are covariant
",d42e32781bc40bcc6df53d5d5d2120b91d8782a2/Codes_neg/Match_newfuncnewJdoc_d42e32781bc40bcc6df53d5d5d2120b91d8782a2_2.txt,"
     * TODO(user): consider checking for ImmutableAsList here
     * TODO(user): consider checking for Multiset here
     
 all supported methods are covariant
",d42e32781bc40bcc6df53d5d5d2120b91d8782a2/Codes_neg/Match_oldfuncoldJdoc_d42e32781bc40bcc6df53d5d5d2120b91d8782a2_2.txt,"[240, 242, 243, 244, 245, 246, 247, 249, 234, 250, 239]","['  public static <E> ImmutableSet<E> copyOf(Collection<? extends E> elements) {\n', '    if (elements instanceof ImmutableSet\n', '        && !(elements instanceof ImmutableSortedSet)) {\n', '          ImmutableSet<E> set = (ImmutableSet<E>) elements;\n', '      if (!set.isPartialView()) {\n', '        return set;\n', '      }\n', '    } else if (elements instanceof EnumSet) {\n', '      return copyOfEnumSet((EnumSet) elements);\n', '    Object[] array = elements.toArray();\n', '    return construct(array.length, array);\n']","[368, 369, 370, 371, 372, 374, 359, 375, 364, 365, 367]","['  public static <E> ImmutableSet<E> copyOf(Collection<? extends E> elements) {\n', '    if (elements instanceof ImmutableSet\n', '        && !(elements instanceof ImmutableSortedSet)) {\n', '      ImmutableSet<E> set = (ImmutableSet<E>) elements;\n', '      if (!set.isPartialView()) {\n', '        return set;\n', '      }\n', '    } else if (elements instanceof EnumSet) {\n', '      return copyOfEnumSet((EnumSet) elements);\n', '    Object[] array = elements.toArray();\n', '    return construct(array.length, array);\n']",/home/pritish/Documents/IP work/guv_ver/v19.0/d42e32781bc40bcc6df53d5d5d2120b91d8782a2/ImmutableSet,guava/src/com/google/common/collect/ImmutableSet.java,public static ImmutableSet<E> copyOf(Collection<? extends E> elements),d42e32781bc40bcc6df53d5d5d2120b91d8782a2/Codes_neg/Match_olddocfunccode_d42e32781bc40bcc6df53d5d5d2120b91d8782a2_2.txt,d42e32781bc40bcc6df53d5d5d2120b91d8782a2/Codes_neg/Match_newdocfunccode_d42e32781bc40bcc6df53d5d5d2120b91d8782a2_2.txt,,d42e32781bc40bcc6df53d5d5d2120b91d8782a2/Codes_neg/Match_newdocnewJdoc_d42e32781bc40bcc6df53d5d5d2120b91d8782a2_2.txt,,d42e32781bc40bcc6df53d5d5d2120b91d8782a2/Codes_neg/Match_olddocJdoc_d42e32781bc40bcc6df53d5d5d2120b91d8782a2_2.txt,"[57, 58, 59]","['   * Returns an immutable set containing {@code element}. Preferred over {@link\n', '   * Collections#singleton} for code consistency, {@code null} rejection, and because the return\n', '   * type conveys the immutability guarantee.\n']","[88, 89, 90, 91]","['  public static <E> ImmutableSet<E> copyOf(Collection<? extends E> elements) {\n', '    if (elements instanceof ImmutableSet\n', '        && !(elements instanceof ImmutableSortedSet)) {\n', '      ImmutableSet<E> set = (ImmutableSet<E>) elements;\n', '      if (!set.isPartialView()) {\n', '        return set;\n', '      }\n', '    } else if (elements instanceof EnumSet) {\n', '      return copyOfEnumSet((EnumSet) elements);\n', '    Object[] array = elements.toArray();\n', '    return construct(array.length, array);\n']",/home/pritish/Documents/IP work/guv_ver/v19.0/d42e32781bc40bcc6df53d5d5d2120b91d8782a2/ImmutableSet,guava/src/com/google/common/collect/ImmutableSet.java,public static ImmutableSet<E> of(E element),1,1,d42e32781bc40bcc6df53d5d5d2120b91d8782a2
3,,966f3b23cbf9c8e568f681f62436836530f1453f/Codes_neg/Match_newfunccode_966f3b23cbf9c8e568f681f62436836530f1453f_1.txt,,966f3b23cbf9c8e568f681f62436836530f1453f/Codes_neg/Match_newfuncnewJdoc_966f3b23cbf9c8e568f681f62436836530f1453f_1.txt,,,"[357, 358, 359, 360]","['  @Nullable\n', '  private static Method getSizeMethod() {\n', '    return getJlaMethod(""getStackTraceDepth"", Throwable.class);\n', '  }\n']",[],[],/home/pritish/Documents/IP work/guv_ver/v19.0/966f3b23cbf9c8e568f681f62436836530f1453f/Throwables,guava/src/com/google/common/base/Throwables.java,private static Method getSizeMethod(),966f3b23cbf9c8e568f681f62436836530f1453f/Codes_neg/Match_olddocfunccode_966f3b23cbf9c8e568f681f62436836530f1453f_1.txt,966f3b23cbf9c8e568f681f62436836530f1453f/Codes_neg/Match_newdocfunccode_966f3b23cbf9c8e568f681f62436836530f1453f_1.txt,,966f3b23cbf9c8e568f681f62436836530f1453f/Codes_neg/Match_newdocnewJdoc_966f3b23cbf9c8e568f681f62436836530f1453f_1.txt,,966f3b23cbf9c8e568f681f62436836530f1453f/Codes_neg/Match_olddocJdoc_966f3b23cbf9c8e568f681f62436836530f1453f_1.txt,"[135, 136, 138, 154, 139, 155, 140]","['   * Propagates {@code throwable} as-is if it is an instance of {@link RuntimeException} or {@link\n', '   * Error}, or else as a last resort, wraps it in a {@code RuntimeException} and then propagates.\n', '   * This method always throws an exception. The {@code RuntimeException} return type is only for\n', '   * client code to make Java type system happy in case a return value is required by the enclosing\n', '   * method. Example usage:\n', '   * @return nothing will ever be returned; this return type is only for your convenience, as\n', '   *     illustrated in the example above\n']","[135, 136, 137, 139, 155, 140, 156, 141]",[],/home/pritish/Documents/IP work/guv_ver/v19.0/966f3b23cbf9c8e568f681f62436836530f1453f/Throwables,guava/src/com/google/common/base/Throwables.java,public static RuntimeException propagate(Throwable throwable),1,1,966f3b23cbf9c8e568f681f62436836530f1453f
4,,966f3b23cbf9c8e568f681f62436836530f1453f/Codes_neg/Match_newfunccode_966f3b23cbf9c8e568f681f62436836530f1453f_2.txt,"
       * Either the JavaLangAccess class itself is not found, or the method is not supported on the
       * JVM.
       
",,,,"[368, 373, 374, 375, 362, 363, 364, 365, 366, 367]","['  @Nullable\n', '  private static Method getJlaMethod(String name, Class<?>... parameterTypes) throws ThreadDeath {\n', '    try {\n', '      return Class.forName(JAVA_LANG_ACCESS_CLASSNAME, false, null).getMethod(name, parameterTypes);\n', '    } catch (ThreadDeath death) {\n', '      throw death;\n', '    } catch (Throwable t) {\n', '      return null;\n', '    }\n', '  }\n']",[],[],/home/pritish/Documents/IP work/guv_ver/v19.0/966f3b23cbf9c8e568f681f62436836530f1453f/Throwables,guava/src/com/google/common/base/Throwables.java,"private static Method getJlaMethod(String name, Class<?>... parameterTypes) throws ThreadDeath",966f3b23cbf9c8e568f681f62436836530f1453f/Codes_neg/Match_olddocfunccode_966f3b23cbf9c8e568f681f62436836530f1453f_2.txt,966f3b23cbf9c8e568f681f62436836530f1453f/Codes_neg/Match_newdocfunccode_966f3b23cbf9c8e568f681f62436836530f1453f_2.txt,,966f3b23cbf9c8e568f681f62436836530f1453f/Codes_neg/Match_newdocnewJdoc_966f3b23cbf9c8e568f681f62436836530f1453f_2.txt,,966f3b23cbf9c8e568f681f62436836530f1453f/Codes_neg/Match_olddocJdoc_966f3b23cbf9c8e568f681f62436836530f1453f_2.txt,"[135, 136, 138, 154, 139, 155, 140]","['   * Propagates {@code throwable} as-is if it is an instance of {@link RuntimeException} or {@link\n', '   * Error}, or else as a last resort, wraps it in a {@code RuntimeException} and then propagates.\n', '   * This method always throws an exception. The {@code RuntimeException} return type is only for\n', '   * client code to make Java type system happy in case a return value is required by the enclosing\n', '   * method. Example usage:\n', '   * @return nothing will ever be returned; this return type is only for your convenience, as\n', '   *     illustrated in the example above\n']","[135, 136, 137, 139, 155, 140, 156, 141]",[],/home/pritish/Documents/IP work/guv_ver/v19.0/966f3b23cbf9c8e568f681f62436836530f1453f/Throwables,guava/src/com/google/common/base/Throwables.java,public static RuntimeException propagate(Throwable throwable),1,1,966f3b23cbf9c8e568f681f62436836530f1453f
5,,ba240ccb80fe88e1ee6793800622ec3dca53a575/Codes_neg/Match_newfunccode_ba240ccb80fe88e1ee6793800622ec3dca53a575_1.txt,,ba240ccb80fe88e1ee6793800622ec3dca53a575/Codes_neg/Match_newfuncnewJdoc_ba240ccb80fe88e1ee6793800622ec3dca53a575_1.txt,,,"[244, 245, 246, 247, 249, 250, 251, 252]","['  public static <K, V> LinkedHashMap<K, V> newLinkedHashMapWithExpectedSize(\n', '      int expectedSize) {\n', '    return new LinkedHashMap<K, V>(capacity(expectedSize));\n', '  }\n', '  public static <K, V> LinkedHashMap<K, V> newLinkedHashMapWithExpectedSize(\n', '      int expectedSize) {\n', '    return new LinkedHashMap<K, V>(capacity(expectedSize));\n', '  }\n']",[],[],/home/pritish/Documents/IP work/guv_ver/v19.0/ba240ccb80fe88e1ee6793800622ec3dca53a575/Maps_2,guava/src/com/google/common/collect/Maps.java,"public static LinkedHashMap<K, V> newLinkedHashMapWithExpectedSize(int expectedSize)",ba240ccb80fe88e1ee6793800622ec3dca53a575/Codes_neg/Match_olddocfunccode_ba240ccb80fe88e1ee6793800622ec3dca53a575_1.txt,ba240ccb80fe88e1ee6793800622ec3dca53a575/Codes_neg/Match_newdocfunccode_ba240ccb80fe88e1ee6793800622ec3dca53a575_1.txt,,ba240ccb80fe88e1ee6793800622ec3dca53a575/Codes_neg/Match_newdocnewJdoc_ba240ccb80fe88e1ee6793800622ec3dca53a575_1.txt,,ba240ccb80fe88e1ee6793800622ec3dca53a575/Codes_neg/Match_olddocJdoc_ba240ccb80fe88e1ee6793800622ec3dca53a575_1.txt,"[176, 165, 168, 170, 171, 173]","[""   * for OpenJDK 1.7. It also can't be guaranteed that the method isn't\n"", '   * @param expectedSize the number of entries you expect to add to the\n', '   *         expectedSize} entries without resizing\n', ""   * for OpenJDK 1.7. It also can't be guaranteed that the method isn't\n"", '   * @param expectedSize the number of entries you expect to add to the\n', '   *         expectedSize} entries without resizing\n']","[176, 165, 168, 170, 171, 173]",[],/home/pritish/Documents/IP work/guv_ver/v19.0/ba240ccb80fe88e1ee6793800622ec3dca53a575/Maps_2,guava/src/com/google/common/collect/Maps.java,"public static HashMap<K, V> newHashMapWithExpectedSize(int expectedSize)",1,1,ba240ccb80fe88e1ee6793800622ec3dca53a575
6,3f1d2e422a12a29e5ac7425dc323c4b99470f0d2/Codes_neg/Match_oldfunccode_3f1d2e422a12a29e5ac7425dc323c4b99470f0d2_1.txt,3f1d2e422a12a29e5ac7425dc323c4b99470f0d2/Codes_neg/Match_newfunccode_3f1d2e422a12a29e5ac7425dc323c4b99470f0d2_1.txt,,3f1d2e422a12a29e5ac7425dc323c4b99470f0d2/Codes_neg/Match_newfuncnewJdoc_3f1d2e422a12a29e5ac7425dc323c4b99470f0d2_1.txt," Force a blocking read to avoid infinite loop
",3f1d2e422a12a29e5ac7425dc323c4b99470f0d2/Codes_neg/Match_oldfuncoldJdoc_3f1d2e422a12a29e5ac7425dc323c4b99470f0d2_1.txt,"[707, 708, 709, 710, 711, 712]","['    long skipped = skipUpTo(in, n);\n', '    if (skipped < n) {\n', '      throw new EOFException(""reached end of stream after skipping ""\n', '          + skipped + "" bytes; "" + n + "" bytes expected"");\n', '    }\n', '  }\n']","[707, 708, 709, 710, 713, 714, 715, 717, 718, 719]","['    long toSkip = n;\n', '    while (n > 0) {\n', '      long amt = in.skip(n);\n', '      if (amt == 0) {\n', '          long skipped = toSkip - n;\n', '          throw new EOFException(""reached end of stream after skipping ""\n', '              + skipped + "" bytes; "" + toSkip + "" bytes expected"");\n', '        n--;\n', '      } else {\n', '        n -= amt;\n']",/home/pritish/Documents/IP work/guv_ver/v19.0/3f1d2e422a12a29e5ac7425dc323c4b99470f0d2/ByteStreams,guava/src/com/google/common/io/ByteStreams.java,"public static void skipFully(InputStream in, long n) throws IOException",3f1d2e422a12a29e5ac7425dc323c4b99470f0d2/Codes_neg/Match_olddocfunccode_3f1d2e422a12a29e5ac7425dc323c4b99470f0d2_1.txt,3f1d2e422a12a29e5ac7425dc323c4b99470f0d2/Codes_neg/Match_newdocfunccode_3f1d2e422a12a29e5ac7425dc323c4b99470f0d2_1.txt,,,,3f1d2e422a12a29e5ac7425dc323c4b99470f0d2/Codes_neg/Match_olddocJdoc_3f1d2e422a12a29e5ac7425dc323c4b99470f0d2_1.txt,"[108, 109, 110, 111]","['   * starting at the given {@code offset}. If {@code offset} is greater than the size of this\n', '   * source, the returned source will be empty. If {@code offset + length} is greater than the size\n', '   * of this source, the returned source will contain the slice starting at {@code offset} and\n', '   * ending at the end of this source.\n']",[108],"['    long toSkip = n;\n', '    while (n > 0) {\n', '      long amt = in.skip(n);\n', '      if (amt == 0) {\n', '          long skipped = toSkip - n;\n', '          throw new EOFException(""reached end of stream after skipping ""\n', '              + skipped + "" bytes; "" + toSkip + "" bytes expected"");\n', '        n--;\n', '      } else {\n', '        n -= amt;\n']",/home/pritish/Documents/IP work/guv_ver/v19.0/3f1d2e422a12a29e5ac7425dc323c4b99470f0d2/ByteSource,guava/src/com/google/common/io/ByteSource.java,"public ByteSource slice(long offset, long length)",1,1,3f1d2e422a12a29e5ac7425dc323c4b99470f0d2
7,,3f1d2e422a12a29e5ac7425dc323c4b99470f0d2/Codes_neg/Match_newfunccode_3f1d2e422a12a29e5ac7425dc323c4b99470f0d2_2.txt," Force a blocking read to avoid infinite loop
 Reached EOF
",3f1d2e422a12a29e5ac7425dc323c4b99470f0d2/Codes_neg/Match_newfuncnewJdoc_3f1d2e422a12a29e5ac7425dc323c4b99470f0d2_2.txt,,,"[736, 738, 739, 720, 721, 722, 723, 724, 725, 726, 730, 731, 732, 735]","['  static long skipUpTo(InputStream in, final long n) throws IOException {\n', '    long totalSkipped = 0;\n', '\n', '    while (totalSkipped < n) {\n', '      long skipped = in.skip(n - totalSkipped);\n', '\n', '      if (skipped == 0) {\n', '          break;\n', '        } else {\n', '          skipped = 1;\n', '\n', '      totalSkipped += skipped;\n', '\n', '    return totalSkipped;\n']",[],[],/home/pritish/Documents/IP work/guv_ver/v19.0/3f1d2e422a12a29e5ac7425dc323c4b99470f0d2/ByteStreams,guava/src/com/google/common/io/ByteStreams.java," static long skipUpTo(InputStream in, final long n) throws IOException",3f1d2e422a12a29e5ac7425dc323c4b99470f0d2/Codes_neg/Match_olddocfunccode_3f1d2e422a12a29e5ac7425dc323c4b99470f0d2_2.txt,3f1d2e422a12a29e5ac7425dc323c4b99470f0d2/Codes_neg/Match_newdocfunccode_3f1d2e422a12a29e5ac7425dc323c4b99470f0d2_2.txt,,,,3f1d2e422a12a29e5ac7425dc323c4b99470f0d2/Codes_neg/Match_olddocJdoc_3f1d2e422a12a29e5ac7425dc323c4b99470f0d2_2.txt,"[108, 109, 110, 111]","['   * starting at the given {@code offset}. If {@code offset} is greater than the size of this\n', '   * source, the returned source will be empty. If {@code offset + length} is greater than the size\n', '   * of this source, the returned source will contain the slice starting at {@code offset} and\n', '   * ending at the end of this source.\n']",[108],[],/home/pritish/Documents/IP work/guv_ver/v19.0/3f1d2e422a12a29e5ac7425dc323c4b99470f0d2/ByteSource,guava/src/com/google/common/io/ByteSource.java,"public ByteSource slice(long offset, long length)",1,1,3f1d2e422a12a29e5ac7425dc323c4b99470f0d2
8,2be61aa4ac0427a36c70ee75728b91d4bc7e246f/Codes_neg/Match_oldfunccode_2be61aa4ac0427a36c70ee75728b91d4bc7e246f_1.txt,2be61aa4ac0427a36c70ee75728b91d4bc7e246f/Codes_neg/Match_newfunccode_2be61aa4ac0427a36c70ee75728b91d4bc7e246f_1.txt,,2be61aa4ac0427a36c70ee75728b91d4bc7e246f/Codes_neg/Match_newfuncnewJdoc_2be61aa4ac0427a36c70ee75728b91d4bc7e246f_1.txt,,2be61aa4ac0427a36c70ee75728b91d4bc7e246f/Codes_neg/Match_oldfuncoldJdoc_2be61aa4ac0427a36c70ee75728b91d4bc7e246f_1.txt,[118],['  @ForOverride\n'],[],[],/home/pritish/Documents/IP work/guv_ver/v19.0/2be61aa4ac0427a36c70ee75728b91d4bc7e246f/AbstractTransformFuture,guava/src/com/google/common/util/concurrent/AbstractTransformFuture.java," abstract void doTransform(F function, I result) throws Exception",2be61aa4ac0427a36c70ee75728b91d4bc7e246f/Codes_neg/Match_olddocfunccode_2be61aa4ac0427a36c70ee75728b91d4bc7e246f_1.txt,2be61aa4ac0427a36c70ee75728b91d4bc7e246f/Codes_neg/Match_newdocfunccode_2be61aa4ac0427a36c70ee75728b91d4bc7e246f_1.txt,,2be61aa4ac0427a36c70ee75728b91d4bc7e246f/Codes_neg/Match_newdocnewJdoc_2be61aa4ac0427a36c70ee75728b91d4bc7e246f_1.txt,,2be61aa4ac0427a36c70ee75728b91d4bc7e246f/Codes_neg/Match_olddocJdoc_2be61aa4ac0427a36c70ee75728b91d4bc7e246f_1.txt,[773],['  // TODO(cpovirk): @ForOverride https://github.com/google/error-prone/issues/342\n'],[],[],/home/pritish/Documents/IP work/guv_ver/v19.0/2be61aa4ac0427a36c70ee75728b91d4bc7e246f/AbstractFuture,guava/src/com/google/common/util/concurrent/AbstractFuture.java, void done(),1,1,2be61aa4ac0427a36c70ee75728b91d4bc7e246f
9,2be61aa4ac0427a36c70ee75728b91d4bc7e246f/Codes_neg/Match_oldfunccode_2be61aa4ac0427a36c70ee75728b91d4bc7e246f_2.txt,2be61aa4ac0427a36c70ee75728b91d4bc7e246f/Codes_neg/Match_newfunccode_2be61aa4ac0427a36c70ee75728b91d4bc7e246f_2.txt,,2be61aa4ac0427a36c70ee75728b91d4bc7e246f/Codes_neg/Match_newfuncnewJdoc_2be61aa4ac0427a36c70ee75728b91d4bc7e246f_2.txt,,2be61aa4ac0427a36c70ee75728b91d4bc7e246f/Codes_neg/Match_oldfuncoldJdoc_2be61aa4ac0427a36c70ee75728b91d4bc7e246f_2.txt,[127],['  @ForOverride\n'],[],[],/home/pritish/Documents/IP work/guv_ver/v19.0/2be61aa4ac0427a36c70ee75728b91d4bc7e246f/AbstractCatchingFuture,guava/src/com/google/common/util/concurrent/AbstractCatchingFuture.java," abstract void doFallback(F fallback, X throwable) throws Exception",2be61aa4ac0427a36c70ee75728b91d4bc7e246f/Codes_neg/Match_olddocfunccode_2be61aa4ac0427a36c70ee75728b91d4bc7e246f_2.txt,2be61aa4ac0427a36c70ee75728b91d4bc7e246f/Codes_neg/Match_newdocfunccode_2be61aa4ac0427a36c70ee75728b91d4bc7e246f_2.txt,,2be61aa4ac0427a36c70ee75728b91d4bc7e246f/Codes_neg/Match_newdocnewJdoc_2be61aa4ac0427a36c70ee75728b91d4bc7e246f_2.txt,,2be61aa4ac0427a36c70ee75728b91d4bc7e246f/Codes_neg/Match_olddocJdoc_2be61aa4ac0427a36c70ee75728b91d4bc7e246f_2.txt,[773],['  // TODO(cpovirk): @ForOverride https://github.com/google/error-prone/issues/342\n'],[],[],/home/pritish/Documents/IP work/guv_ver/v19.0/2be61aa4ac0427a36c70ee75728b91d4bc7e246f/AbstractFuture,guava/src/com/google/common/util/concurrent/AbstractFuture.java, void done(),1,1,2be61aa4ac0427a36c70ee75728b91d4bc7e246f
10,,4f7f6b4634387234578fe0a0a454b6d975783eec/Codes_neg/Match_newfunccode_4f7f6b4634387234578fe0a0a454b6d975783eec_1.txt,,4f7f6b4634387234578fe0a0a454b6d975783eec/Codes_neg/Match_newfuncnewJdoc_4f7f6b4634387234578fe0a0a454b6d975783eec_1.txt,,,"[412, 446]","['  public static <B> List<List<B>>\n', '  public static <B> List<List<B>>\n']",[],[],/home/pritish/Documents/IP work/guv_ver/v19.0/4f7f6b4634387234578fe0a0a454b6d975783eec/Lists,guava-gwt/src-super/com/google/common/collect/super/com/google/common/collect/Lists.java,public static List<List<B>> cartesianProduct(List<? extends List<? extends B>> lists),4f7f6b4634387234578fe0a0a454b6d975783eec/Codes_neg/Match_olddocfunccode_4f7f6b4634387234578fe0a0a454b6d975783eec_1.txt,,,,,4f7f6b4634387234578fe0a0a454b6d975783eec/Codes_neg/Match_olddocJdoc_4f7f6b4634387234578fe0a0a454b6d975783eec_1.txt,[],[],"[410, 444]",[],/home/pritish/Documents/IP work/guv_ver/v19.0/4f7f6b4634387234578fe0a0a454b6d975783eec/Lists,guava-gwt/src-super/com/google/common/collect/super/com/google/common/collect/Lists.java, static List<List<B>> cartesianProduct(List<? extends List<? extends B>> lists),1,1,4f7f6b4634387234578fe0a0a454b6d975783eec
